icd_code,target_count,non_target_count,target_prevalence,non_target_prevalence,prevalence_ratio,chi2_value,p_value
E785,1224.0,793.0,0.5556059918293237,0.09772027110289587,5.685677961784315,2309.8109353830105,0.0
E119,452.0,190.0,0.20517476168860643,0.02341343191620456,8.763122058437059,981.0036873866691,2.4177928031927884e-215
Z87891,714.0,690.0,0.32410349523377213,0.08502772643253234,3.8117389330754508,842.422444871975,3.228133357999111e-185
K219,633.0,588.0,0.2873354516568316,0.07245841035120149,3.9655224323047418,766.7693015763289,9.061599403333296e-169
I2510,429.0,406.0,0.19473445301861098,0.05003080714725816,3.8922908528227294,487.78143363916865,4.330610232166709e-108
G4733,273.0,224.0,0.12392192464820699,0.02760320394331485,4.489403654108035,350.5967262379328,3.1419142340179106e-78
D62,330.0,339.0,0.14979573309123922,0.04177449168207024,3.585818212493824,333.4328992432191,1.7183390269022327e-74
Z7902,267.0,240.0,0.12119836586472992,0.029574861367837338,4.098019745801181,311.30859247784485,1.1328138106379374e-69
N179,391.0,488.0,0.17748524738992283,0.06013555144793592,2.9514196364123437,306.15941614737085,1.4992933682806372e-68
E669,295.0,295.0,0.13390830685428962,0.036352433764633395,3.6836132546527467,305.8650194985094,1.7378872671597099e-68
Z8673,194.0,136.0,0.08806173399909215,0.016759088108441157,5.2545659661958295,284.5229894277603,7.762221444294368e-64
E7800,163.0,95.0,0.07399001361779392,0.01170671595810228,6.320304847456818,275.6919312020395,6.522657387582522e-62
Z7901,311.0,358.0,0.14117113027689515,0.044115834873690696,3.200010397198336,269.1712009753657,1.7200592097874576e-60
N390,259.0,259.0,0.11756695415342715,0.031916204559457796,3.6836132546527462,266.56617834919,6.357892273504272e-60
I4891,277.0,297.0,0.1257376305038584,0.036598890942698706,3.435558490029666,262.0489082830694,6.1363436635183845e-59
E039,283.0,316.0,0.12846118928733546,0.038940234134319164,3.2989321236288838,253.92154676365422,3.626879762050964e-57
Z20822,391.0,582.0,0.17748524738992283,0.07171903881700555,2.474729866957429,226.93436756202783,2.779233434631518e-51
F329,376.0,551.0,0.17067635043123014,0.06789895255699323,2.513681640198607,223.82170830197128,1.3267936566439457e-50
Z794,218.0,223.0,0.09895596913300045,0.027479975354282194,3.6010210292121014,216.3492063253776,5.659062355088101e-49
Z955,155.0,119.0,0.07035860190649115,0.014664202094886013,4.797983651018283,207.90471290838127,3.935579923784668e-47
N400,156.0,123.0,0.070812528370404,0.015157116451016635,4.671899737608362,203.99460889614807,2.8064722723391866e-46
G8929,163.0,135.0,0.07399001361779392,0.0166358595194085,4.4476219296918345,203.20964490210685,4.163347669691536e-46
E1165,145.0,106.0,0.0658193372673627,0.013062230437461492,5.038904923817436,203.18268583301304,4.220124852884555e-46
F419,376.0,596.0,0.17067635043123014,0.07344423906346273,2.323890241190323,191.9667163043392,1.1831796277194358e-43
M1990,136.0,99.0,0.06173399909214707,0.012199630314232901,5.060317198310844,191.00915423675715,1.9145092335337482e-43
E871,209.0,241.0,0.09487063095778484,0.029698089956869993,3.1945027810059083,176.4355916669838,2.9088242117792515e-40
D649,260.0,348.0,0.11802088061734,0.04288354898336414,2.7521248454302127,176.3954064182715,2.9681955541542836e-40
J449,187.0,203.0,0.08488424875170222,0.02501540357362908,3.393279205024944,170.75519736514693,5.060878826109532e-39
Z66,240.0,316.0,0.10894235133908307,0.038940234134319164,2.7976809529008198,166.53568231238827,4.225252779841287e-38
Z8249,126.0,100.0,0.05719473445301861,0.012322858903265557,4.641352700862461,162.8400806754809,2.7111773545436805e-37
J45909,198.0,234.0,0.08987743985474353,0.028835489833641405,3.1169035231677085,160.9351799055179,7.068485955842825e-37
Y929,255.0,358.0,0.11575124829777576,0.044115834873690696,2.6238027372526544,159.11021914333102,1.7703454726253628e-36
K5900,168.0,187.0,0.07625964593735815,0.023043746149106592,3.3093423892067455,147.69400960518064,5.533751024102291e-34
F0390,102.0,74.0,0.0463004993191103,0.009118915588416513,5.077412864521352,142.8624321918591,6.29955037815321e-33
R079,104.0,79.0,0.047208352246935995,0.009735058533579791,4.849313651694754,139.65852026647104,3.1614629593220066e-32
I480,148.0,161.0,0.06718111665910123,0.01983980283425755,3.3861786440286115,133.66878144319782,6.455465685582505e-31
R339,120.0,112.0,0.05447117566954154,0.013801601971657425,3.9467284871279427,130.38596222609144,3.3736763901006174e-30
Z86718,129.0,129.0,0.05855651384475715,0.01589648798521257,3.6836132546527467,129.3370904568903,5.722566924523388e-30
I252,138.0,147.0,0.06264185201997277,0.01811460258780037,3.4580859125311494,127.9011971396108,1.1797203772316174e-29
G92,112.0,100.0,0.05083976395823876,0.012322858903265557,4.125646845211076,127.72801298735763,1.287286856320015e-29
J9601,191.0,260.0,0.08669995460735361,0.03203943314849045,2.706038967841056,123.8466934095393,9.101049734771514e-29
E876,137.0,149.0,0.06218792555605992,0.018361059765865682,3.386946415351854,123.48830114375465,1.0902720797289366e-28
D72829,148.0,171.0,0.06718111665910123,0.021072088724584104,3.188156501102962,122.94849771619121,1.431159906208638e-28
Z9181,110.0,102.0,0.04993191103041307,0.012569316081330868,3.9725240981549224,120.18698854550752,5.757011980173207e-28
E6601,98.0,82.0,0.04448479346345892,0.010104744300677758,4.402367060438648,119.47766863248226,8.231685005883814e-28
R42,78.0,53.0,0.035406264185202,0.006531115218730746,5.421166676658759,115.24694183626237,6.948322614145499e-27
I959,136.0,155.0,0.06173399909214707,0.019100431300061615,3.232073565372732,114.9047275073734,8.257068052327494e-27
Y92009,115.0,116.0,0.05220154334997731,0.014294516327788047,3.6518579679747054,113.75329721675966,1.4757270626104973e-26
Z853,87.0,69.0,0.03949160236041761,0.008502772643253234,4.644555842823029,111.7390840540506,4.075682666533664e-26
R0789,83.0,63.0,0.03767589650476623,0.007763401109057301,4.85301428787584,111.1334066047587,5.531991436724045e-26
M810,110.0,109.0,0.04993191103041307,0.013431916204559458,3.7174078716679086,111.11217875672732,5.591545130070083e-26
F17210,248.0,413.0,0.11257376305038584,0.05089340727048675,2.2119517848762253,109.93819294539794,1.0109418658873893e-25
Z8546,83.0,64.0,0.03767589650476623,0.007886629698089957,4.77718593962778,109.48060386437496,1.2734452809864702e-25
R29810,67.0,41.0,0.03041307308216069,0.005052372150338879,6.019563123456926,107.58991205721642,3.3056351168356763e-25
I739,69.0,44.0,0.031320926009986386,0.005422057917436845,5.7765753311599894,107.29232580489843,3.8411890815893983e-25
E780,48.0,18.0,0.021788470267816613,0.0022181146025878,9.822968679073991,104.4103252658074,1.6447124017673284e-24
Y92230,150.0,197.0,0.06808896958692692,0.024276032039433147,2.804781665979249,102.33756961412513,4.682274534049123e-24
Z85828,96.0,92.0,0.04357694053563323,0.011337030191004313,3.8437703526811267,100.67436547794847,1.0841971865342793e-23
Z515,142.0,182.0,0.06445755787562416,0.022427603203943314,2.874027923959835,100.63105662374853,1.1081647661498163e-23
F05,104.0,107.0,0.047208352246935995,0.013185459026494147,3.580334378354071,100.12356579379171,1.4317974181946795e-23
B9620,91.0,85.0,0.041307308216069,0.010474430067775724,3.9436330138047047,98.24046376913608,3.7054051270277593e-23
Z6841,74.0,57.0,0.033590558329550615,0.007024029574861368,4.782234751654443,97.55523229584223,5.23747744122361e-23
Y838,128.0,157.0,0.058102587380844305,0.019346888478126927,3.0032006152582897,96.8933605800248,7.316360596656753e-23
Z7984,71.0,53.0,0.03222877893781208,0.006531115218730746,4.934651718497076,96.3650416999047,9.553927717096049e-23
J9811,97.0,98.0,0.04403086699954607,0.012076401725200246,3.646025364299147,95.41525286320551,1.5435977749712889e-22
R410,59.0,37.0,0.026781661370857923,0.004559457794208257,5.873869784446271,92.82515409459879,5.712448137680994e-22
R001,84.0,77.0,0.038129822968679075,0.00948860135551448,4.018487186893905,92.53164685933042,6.625675351111533e-22
E872,181.0,282.0,0.08216068996822515,0.03475046210720887,2.3643049613196707,90.86675321628843,1.536803017008561e-21
G4700,132.0,172.0,0.05991829323649569,0.02119531731361676,2.826959009384666,90.85625391022248,1.544979309227441e-21
R4701,56.0,34.0,0.02541988197911938,0.004189772027110289,6.0671277135457,90.31706226200772,2.0289534351618747e-21
R471,52.0,29.0,0.023604176123467997,0.0035736290819470117,6.605099629032511,89.25374404174984,3.472850143036984e-21
V270,10.0,391.0,0.004539264639128461,0.04818237831176833,0.09421005766375311,88.3497476972099,5.484660183303514e-21
H409,72.0,60.0,0.032682705401724924,0.0073937153419593345,4.420335905583296,87.73722885043834,7.475404301010423e-21
R32,57.0,37.0,0.025873808443032227,0.004559457794208257,5.67475555446504,87.19549809023545,9.830731205647656e-21
Z370,3.0,332.0,0.0013617793917385383,0.04091189155884165,0.03328566193963325,86.2756233418975,1.5652610738247776e-20
R0902,102.0,116.0,0.0463004993191103,0.014294516327788047,3.239039241160173,85.81891464250553,1.9719096401350253e-20
G936,63.0,47.0,0.028597367226509306,0.005791743684534812,4.9376092562366605,85.43761183623262,2.3912856191592886e-20
Z96651,41.0,17.0,0.01861098502042669,0.0020948860135551447,8.884008437691918,84.55477646539566,3.737162637218645e-20
Y92239,121.0,156.0,0.05492510213345438,0.01922365988909427,2.8571615629037326,84.53047907735268,3.7833726571576774e-20
I951,80.0,76.0,0.03631411711302769,0.009365372766481824,3.877487636476575,84.50294111038484,3.8364371173801807e-20
M545,62.0,46.0,0.02814344076259646,0.005668515095502156,4.964870038879789,84.49783377990613,3.846360250192321e-20
R55,81.0,78.0,0.03676804357694054,0.009611829944547136,3.8252906875240056,84.21489146057472,4.4381514406708057e-20
G40909,74.0,66.0,0.033590558329550615,0.008133086876155268,4.1301118309742915,83.89548586508133,5.216350352755907e-20
Z86010,39.0,15.0,0.017703132092601,0.0018484288354898336,9.577394462097141,83.6574028372378,5.883950499756939e-20
E860,108.0,133.0,0.04902405810258738,0.01638940234134319,2.9912047481390722,80.89251082904481,2.3833519973778033e-19
5849,53.0,631.0,0.024058102587380843,0.07775723967960567,0.3094001624351752,80.71800417525283,2.6033935774100444e-19
R531,68.0,59.0,0.030866999546073536,0.007270486752926679,4.245520361294691,79.3548862500152,5.189773101964591e-19
Y92234,52.0,34.0,0.023604176123467997,0.004189772027110289,5.633761448292436,79.01102428183842,6.176431075756622e-19
D509,99.0,117.0,0.044938719927371765,0.014417744916820702,3.1169035231677085,78.74703962314148,7.059444222987266e-19
K449,61.0,48.0,0.027689514298683614,0.005914972273567467,4.681258511121198,78.5935492883716,7.629815518262979e-19
E1142,49.0,30.0,0.02224239673172946,0.0036968576709796672,6.016568315932819,78.43191762050772,8.280340934876884e-19
J189,121.0,164.0,0.05492510213345438,0.020209488601355515,2.717787828127941,77.74501694735997,1.1723867044573616e-18
M109,104.0,131.0,0.047208352246935995,0.01614294516327788,2.9243952556021804,75.12682124489862,4.414287268980779e-18
4280,36.0,511.0,0.016341352700862462,0.062969808995687,0.2595109142221113,75.0367958045448,4.620226008701431e-18
E861,92.0,107.0,0.04176123467998184,0.013185459026494147,3.1672188731593707,74.80040128360072,5.207912001105743e-18
40390,18.0,396.0,0.008170676350431231,0.048798521256931605,0.1674369661205794,74.25661429824324,6.859460434145964e-18
D696,131.0,191.0,0.05946436677258284,0.023536660505237214,2.5264572584267526,73.97337072793994,7.91779704747284e-18
I25110,48.0,31.0,0.021788470267816613,0.0038200862600123228,5.703659233010704,73.62612629702778,9.44068014625501e-18
W19XXXA,75.0,77.0,0.03404448479346346,0.00948860135551448,3.5879349882981293,71.98068544184217,2.1731404690625415e-17
Z923,54.0,41.0,0.02451202905129369,0.005052372150338879,4.851588189054836,71.9228579632108,2.237766937895027e-17
Z23,129.0,190.0,0.05855651384475715,0.02341343191620456,2.500979525527391,71.42183159362791,2.884626901164467e-17
M48061,37.0,18.0,0.016795279164775308,0.0022181146025878,7.5718716901195355,69.43966861584815,7.878801329250015e-17
